HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
20,2,1,2,0,1,96.8
0,2,0,0,2,0,96.8
0,2,0,0,2,0,96.8
41,2,2,1,2,1,96.8
41,2,1,2,1,1,96.8
0,1,0,0,0,0,96.8
41,2,2,1,1,1,93.3
0,2,0,0,1,0,93.3
0,2,0,0,0,0,93.3
0,2,0,0,2,0,93.3
0,2,0,0,0,0,93.3
0,2,0,0,0,0,93.3
20,2,0,2,0,2,93.3
41,2,1,1,0,1,93.3
14,2,0,2,0,2,93.3
7,2,0,2,0,2,93.3
0,2,0,0,0,0,93.3
14,2,0,2,0,1,93.3
41,2,1,2,3,1,93.3
34,2,0,2,0,1,93.3
0,2,0,0,0,0,93.3
13,2,1,2,2,2,93.3
20,2,0,2,0,2,93.3
0,2,0,0,0,0,93.3
37,2,1,2,1,1,92.5
39,2,0,2,1,1,92.5
0,2,0,0,0,0,92.5
15,2,2,2,0,1,92.5
0,2,0,0,0,0,92.5
22,2,1,2,2,2,92.5
41,2,1,2,2,1,92.5
41,2,2,2,3,1,92.5
0,2,0,0,0,0,92.5
27,2,0,2,0,1,92.5
41,0,2,2,0,1,92.5
0,0,0,0,0,0,92.5
0,0,0,0,0,0,92.5
38,0,0,1,0,1,92.5
41,0,1,1,0,1,92.7
41,0,2,1,0,1,92.7
0,0,0,0,0,0,92.7
27,0,2,2,0,1,92.7
0,0,0,0,0,0,92.7
0,0,0,0,0,0,92.7
0,0,0,0,0,0,92.7
41,0,1,2,0,1,92.7
0,0,0,0,0,0,92.7
0,0,0,0,0,0,92.7
18,0,1,2,0,2,92.7
18,0,0,2,0,1,92.7
11,0,2,2,0,1,92.7
0,0,0,0,0,0,92.7
18,0,2,2,0,2,92.7
0,0,0,0,0,0,92.7
0,0,0,0,0,0,101.9
0,0,0,0,0,0,101.9
41,0,1,2,0,1,101.9
22,0,0,2,0,2,101.9
5,0,0,2,0,2,101.9
1,0,0,2,0,2,101.9
0,0,0,0,0,0,101.9
41,0,2,2,0,1,101.9
0,0,0,0,0,0,101.9
33,0,1,2,0,1,101.9
0,0,0,0,0,0,101.9
0,0,0,0,0,0,101.9
0,0,0,0,0,0,91.1
3,0,2,2,0,2,91.1
